,lat,lng,x,y,single_index
0,5.125,119.125,0,8,8
1,5.125,119.375,0,9,9
2,5.375,119.375,1,9,65
3,5.375,125.125,1,32,88
4,5.375,125.375,1,33,89
5,5.375,125.625,1,34,90
6,5.625,118.625,2,6,118
7,5.625,118.875,2,7,119
8,5.625,119.125,2,8,120
9,5.625,119.375,2,9,121
10,5.625,125.125,2,32,144
11,5.625,125.625,2,34,146
12,5.875,118.125,3,4,172
13,5.875,118.375,3,5,173
14,5.875,118.625,3,6,174
15,5.875,124.375,3,29,197
16,5.875,124.625,3,30,198
17,5.875,124.875,3,31,199
18,5.875,125.125,3,32,200
19,5.875,125.625,3,34,202
20,5.875,125.875,3,35,203
21,6.125,117.625,4,2,226
22,6.125,117.875,4,3,227
23,6.125,118.125,4,4,228
24,6.125,124.125,4,28,252
25,6.125,124.375,4,29,253
26,6.125,125.875,4,35,259
27,6.375,117.875,5,3,283
28,6.375,123.875,5,27,307
29,6.375,124.125,5,28,308
30,6.375,125.625,5,34,314
31,6.375,125.875,5,35,315
32,6.625,117.625,6,2,338
33,6.625,117.875,6,3,339
34,6.625,123.875,6,27,363
35,6.625,125.375,6,33,369
36,6.625,125.625,6,34,370
37,6.875,117.375,7,1,393
38,6.875,117.625,7,2,394
39,6.875,121.875,7,19,411
40,6.875,122.125,7,20,412
41,6.875,122.375,7,21,413
42,6.875,123.875,7,27,419
43,6.875,125.625,7,34,426
44,6.875,125.875,7,35,427
45,6.875,126.125,7,36,428
46,6.875,126.375,7,37,429
47,6.875,126.625,7,38,430
48,7.125,117.125,8,0,448
49,7.125,117.375,8,1,449
50,7.125,121.875,8,19,467
51,7.125,122.375,8,21,469
52,7.125,123.875,8,27,475
53,7.125,124.125,8,28,476
54,7.125,125.875,8,35,483
55,7.125,126.625,8,38,486
56,7.375,121.875,9,19,523
57,7.375,122.375,9,21,525
58,7.375,122.625,9,22,526
59,7.375,122.875,9,23,527
60,7.375,123.125,9,24,528
61,7.375,123.375,9,25,529
62,7.375,123.625,9,26,530
63,7.375,124.125,9,28,532
64,7.375,126.625,9,38,542
65,7.625,121.875,10,19,579
