,lat,lng,x,y,single_index
0,5.125,119.125,0,8,8
1,5.125,119.375,0,9,9
2,5.375,119.375,1,9,49
3,5.375,125.125,1,32,72
4,5.375,125.375,1,33,73
5,5.375,125.625,1,34,74
6,5.625,118.625,2,6,86
7,5.625,118.875,2,7,87
8,5.625,119.125,2,8,88
9,5.625,119.375,2,9,89
10,5.625,125.125,2,32,112
11,5.625,125.625,2,34,114
12,5.875,118.125,3,4,124
13,5.875,118.375,3,5,125
14,5.875,118.625,3,6,126
15,5.875,124.375,3,29,149
16,5.875,124.625,3,30,150
17,5.875,124.875,3,31,151
18,5.875,125.125,3,32,152
19,5.875,125.625,3,34,154
20,5.875,125.875,3,35,155
21,6.125,117.625,4,2,162
22,6.125,117.875,4,3,163
23,6.125,118.125,4,4,164
24,6.125,124.125,4,28,188
25,6.125,124.375,4,29,189
26,6.125,125.875,4,35,195
27,6.375,117.875,5,3,203
28,6.375,123.875,5,27,227
29,6.375,124.125,5,28,228
30,6.375,125.625,5,34,234
31,6.375,125.875,5,35,235
32,6.625,117.625,6,2,242
33,6.625,117.875,6,3,243
34,6.625,123.875,6,27,267
35,6.625,125.375,6,33,273
36,6.625,125.625,6,34,274
37,6.875,117.375,7,1,281
38,6.875,117.625,7,2,282
39,6.875,121.875,7,19,299
40,6.875,122.125,7,20,300
41,6.875,122.375,7,21,301
42,6.875,123.875,7,27,307
43,6.875,125.625,7,34,314
44,6.875,125.875,7,35,315
45,6.875,126.125,7,36,316
46,6.875,126.375,7,37,317
47,6.875,126.625,7,38,318
48,7.125,117.125,8,0,320
49,7.125,117.375,8,1,321
50,7.125,121.875,8,19,339
51,7.125,122.375,8,21,341
52,7.125,123.875,8,27,347
53,7.125,124.125,8,28,348
54,7.125,125.875,8,35,355
55,7.125,126.625,8,38,358
56,7.375,121.875,9,19,379
57,7.375,122.375,9,21,381
58,7.375,122.625,9,22,382
59,7.375,122.875,9,23,383
60,7.375,123.125,9,24,384
61,7.375,123.375,9,25,385
62,7.375,123.625,9,26,386
63,7.375,124.125,9,28,388
64,7.375,126.625,9,38,398
65,7.625,121.875,10,19,419
